Tribe,Affinity,Military Capability,Economic Resources
"Al-Ubaidat1		",2.7,6,4.3
"Al-Ubaidat2		",2.9,5.6,4.3
"Masamir		",3.2,3.5,3.2
"Masimir	",3.3,3.4,3.1
Msika,3.1,3.2,3
Ulum,2.8,4.3,4.3
al-Rahmana,3.2,4.3,4
"al-Marirat		",3.4,4.5,4.7
al-Qunashat,3.4,4.8,4.3
"al-Habun1	",3.1,4.7,4.6
Unaffiliated1,9.3,1.2,0.4
Unaffiliated2,0.6,1,0.3
Unaffiliated3,8.7,0.8,0.1
"Saada1	",2.3,0.5,1.6
"Saada2	",1.8,0.5,1.6
Saada3,1.4,0.5,1.6
Saada4,1.8,0.5,1.6
Saada5,1.7,0.5,1.6
Saada6,1.9,0.5,1.6
Saada7,2.3,0.5,1.6
Saada8,2.2,0.5,1.6
Saada9,3.2,0.5,1.6
Saada10,3.5,0.5,1.6
Saada11,3.2,0.5,1.6
Saada12,2.4,0.5,1.6
Saada13,3.4,0.5,1.6
Saada14,3.2,0.5,1.6
Saada15,3.3,0.5,1.6
Saada16,3.2,0.5,1.6
Saada17,4.4,0.5,1.6
Saada18,4.5,0.5,1.6
Saada19,4.8,0.5,1.6
Saada20,4.9,0.5,1.6
Saada21,5,0.5,1.6
Unaffiliated1,6,1.2,1.5
Unaffiliated2,7.2,1.3,1.5
Unaffiliated3,5.5,1.2,1.5
Unaffiliated4,8.2,1.4,1.5
Unaffiliated5,7.5,1.8,1.5
Unaffiliated6,9,1.2,1.5
el-Mahjoub,5.2,1.3,1.2
Zamoura,6.3,1.2,0.8
Kawafi,7.4,1.8,0.9
Dababisa,7.6,2.2,0.7
Zawaiya,8.4,2.3,0.8
al-Sawalih,5.9,2.3,0.9
al-Jarsha,5.3,2.3,1.3
Kawar,5,2.2,1.5
Marghara1,5.5,2.3,1.8
Marghara2,5.7,2.3,1.8
Marghara3,5.9,2.3,1.8
Marghara4,6.1,2.3,1.8
Marghara5,6.3,2.3,1.8
Marghara6,6.5,2.3,1.8
Marghara7,6.7,2.3,1.8
Marghara8,6.9,2.3,1.8
Marghara9,7.1,2.3,1.8
Marghara10,7.3,2.3,1.8
Marghara11,7.2,2.3,1.8
Unaffiliated13,8,1.3,0.8
Unaffiliated14,4.4,0.8,1.2
"Unaffiliated15	",9.3,2.4,0.9
"Unaffiliated16	",5.6,1.3,0.8
Beni Salim,4.5,2.9,3.2
Beni Salim2,4.6,2.9,3.2
Beni Hilal,4.8,3.2,3.3
Magariha,4.4,2.5,3.2
Gaddafi,5.1,3.3,3.2
Zawiya,8.4,2.6,1.6
Maslata,6.4,4.1,2.3
Masrata,6.4,4.2,2.3
Kargala,5.8,2.3,2.3
Tawajeer,6.7,2.4,1.6
Ramla,7.6,2.6,1.8
al-Awaqir,6.9,2.4,2.3
al-Mujabra,4.2,2.2,2.3
Warfalla1,8.2,1,2.3
Warfalla2,8.1,1,2.4
Warfalla3,8,1,2.4
Warfalla4,5.6,1,2.4
Warfalla5,5.8,1,2.4
Warfalla6,5.3,1,2.4
Warfalla7,5.3,1,2.4
Warfalla8,5.1,1,2.4
Warfalla9,6.3,1,2.4
Warfalla10,6.8,1,2.4
Warfalla11,7.2,1,2.4
Warfalla12,7.1,1,2.4
Warfalla13,7,1,2.4
Warfalla14,6.9,1,2.4
Warfalla15,6.8,1,2.4
Warfalla16,6.7,1,2.4
Warfalla17,6.6,1,2.4
Sadat,5.6,4,4.5
Jmamla,5.9,3.5,4
Sabayi,5.7,3,3.5
Mtarfa1,7.6,2,1
Matarfa2,7.8,2,1
Unaffiliated7,4,1.7,0.6
Unaffiliated8,4.5,1.8,0.7
Unaffiliated9,4.1,1.8,0.8
Unaffiliated10,9.3,1.8,1.2
Unaffiliated11,9.4,1.8,1.1
Unaffiliated12,6.2,1.8,2.3
Zawayia1,4.7,1.2,0.9
Zawayia2,4.8,1.4,1
Zawayia3,4.9,1.5,1.1
Zawayia4,5,1.6,1.2
Zawayia5,5.1,1.7,1.3
Zawayia6,5.2,1.8,1.4
Zawayia7,5.3,1.9,1.5
Zawayia8,5.4,2,1.6
Zawayia9,5.5,2.1,1.7
Zawayia10,5.6,2.2,1.8
Zawayia11,5.7,2.3,1.9
Awlad Bu Saif,6.5,2.1,2.5
Magharha,7,1.8,1.7
Gaddafi,4.5,2.2,2.6
Awlad Sulaiman,6.2,2.7,2.7
Hasawna,3.8,1.5,1.1
Tebu,0.1,0.3,0.4
Taureg1,4.8,1.3,2.3
Taureg2,4.9,1.4,2.2
Taureg3,5.3,1.5,2.1
Taureg4,5.4,1.6,2.1
Taureg5,5.5,1.7,2.1
Unaffiliated17,7.7,3.1,2.8
Unaffiliated18,9.3,2.2,2.3
